ID,Tipo de habitación,Título,Tipología,Ciudad,Municipio,Localización,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00000000000000744388,"Habitación en Palma, España",Habitación,Habitación,Mallorca,Palma,"39.57541,2.64556",65,65,65,4.75,4,1,1,1,
00000000000000765176,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,,,,,2,2,2,4
00000000000000773049,"Alojamiento entero: adosado en Capdepera, España",Alojamiento entero,Alojamiento,Mallorca,Capdepera,,,,,,,3,2,4,6
00000000000000781232,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.81886,3.1155",,,,,,3,2,4,6
00000000000000899914,"Alojamiento entero: vivienda en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.5736,2.6468",,,,,,3,2,4,4
00000000000000906734,"Caravana/autocaravana en Palma de Mallorca, España",Caravana/autocaravana,Caravana/autocaravana,Mallorca,Palma de Mallorca,"39.5701,2.6575",,79,79,4.44,239,2,1,2,4
00000000000000931856,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,170,170,4.69,583,2,1,2,4
00000000000000940382,"Alojamiento entero: vivienda en Santa Ponsa, España",Alojamiento entero,Alojamiento,Mallorca,Santa Ponsa,"39.49914,2.4625",,,,,,6,4,7,9
00000000000000941911,"Alojamiento entero: apto. residencial en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,300,130,215,4.74,374,1,1,4,4
00000000000001031351,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,285,285,4.74,68,3,5,6,7
00000000000001047216,"Alojamiento entero: adosado en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.7642,3.1614",233,102,168,,,2,2,3,4
00000000000001080054,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.81656,3.10839",,,,4.73,64,3,2,8,6
00000000000001129508,"Alojamiento entero: chalet en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,197,197,4.74,43,3,5,5,6
00000000000001147861,"Alojamiento entero: piso en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,,,4.68,571,2,1,2,4
00000000000001176182,"Alojamiento entero: apartamento con servicios en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.53248,2.72215",,,,,,2,2,3,4
00000000000001178953,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.5336,2.7231",516,354,435,,,2,5,3,4
00000000000001179067,"Alojamiento entero: apartamento con servicios en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.5335,2.7234",444,,444,,,1,1,1,2
00000000000001185288,"Alojamiento entero: piso en Cala Millor, España",Alojamiento entero,Alojamiento,Mallorca,Cala Millor,,,,,4.86,92,2,1,3,6
00000000000001204912,"Alojamiento entero: casa rural en Es Capdellà, España",Alojamiento entero,Alojamiento,Mallorca,Es Capdellà,"39.56528,2.45568",,140,140,4.8,296,2,2,2,4
00000000000001215079,"Alojamiento entero: chalet en Balearic Islands, España",Alojamiento entero,Alojamiento,Mallorca,Balearic Islands,"39.7958,3.1238",,,,,,3,2,4,6
00000000000001269740,"Alojamiento entero: chalet en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.52354,2.74163",,,,4.29,28,3,1,6,5
00000000000001510808,"Habitación privada en: hostal en Palma de Mallorca, España",Habitación privada en,Habitación,Mallorca,Palma de Mallorca,"39.5823,2.6554",100,100,100,4.07,16,8,1,1,2
00000000000001520520,"Alojamiento entero: casa rural en Font de Sa Cala, España",Alojamiento entero,Alojamiento,Mallorca,Font de Sa Cala,"39.69664,3.44502",,,,4.88,40,1,1,2,3
00000000000001547705,"Alojamiento entero: casa rural en Valldemossa, España",Alojamiento entero,Alojamiento,Mallorca,Valldemossa,"39.7088,2.6064",,334,334,,,4,4,5,7
00000000000001574730,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,,,100,100,4.56,157,2,1,3,4
00000000000001575793,"Alojamiento entero: piso en Son Servera, España",Alojamiento entero,Alojamiento,Mallorca,Son Servera,"39.6115,3.389",,,,,,2,1,4,4
00000000000001620619,"Alojamiento entero: villa en Andratx, España",Alojamiento entero,Alojamiento,Mallorca,Andratx,"39.57699,2.4182",,,,4.87,93,2,2,3,4
00000000000001682362,"Habitación en Palma, España",Habitación,Habitación,Mallorca,Palma,"39.57439,2.64161",,,,4.67,9,1,1,2,
00000000000001721038,"Alojamiento entero: chalet en Son Verí Nou, España",Alojamiento entero,Alojamiento,Mallorca,Son Verí Nou,"39.49098,2.73822",,,,4.93,14,5,5,6,0
00000000000001731292,"Alojamiento entero: vivienda en Valldemossa, España",Alojamiento entero,Alojamiento,Mallorca,Valldemossa,"39.7106,2.6231",,,,,,2,1,3,3
00000000000001842456,"Alojamiento entero: vivienda en Provensals, España",Alojamiento entero,Alojamiento,Mallorca,Provensals,"39.67824,3.45465",,,,4.25,8,5,5,7,0
00000000000001873788,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.76506,3.16228",,210,210,4.78,23,3,2,4,6
00000000000001879209,"Alojamiento entero: villa en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,,,4.68,40,4,5,5,8
00000000000001879579,"Alojamiento entero: villa en Can Pastilla, España",Alojamiento entero,Alojamiento,Mallorca,Can Pastilla,"39.5412,2.7097",,,,4.41,22,5,3,0,1
00000000000001997237,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.76114,3.15314",196,98,147,4.18,40,3,2,6,6
00000000000002054187,"Alojamiento entero: apartamento con servicios en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,,,4.52,497,1,1,3,4
00000000000002197467,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,400,170,285,4.75,53,3,2,,6
00000000000002220591,"Alojamiento entero: villa en Deià, España",Alojamiento entero,Alojamiento,Mallorca,Deià,"39.74701,2.64733",,490,490,,,3,5,5,6
00000000000002239956,"Alojamiento entero: villa en Can Pastilla, España",Alojamiento entero,Alojamiento,Mallorca,Can Pastilla,"39.5413,2.7091",,,,4.06,17,5,3,0,1
00000000000002266269,"Habitación en Pollença, España",Habitación,Habitación,Mallorca,Pollença,"39.90486,3.07938",,55,55,,,1,1,1,
00000000000002277861,"Alojamiento entero: villa en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.815,3.1092",,,,4.68,31,4,3,8,8
00000000000002290707,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.572,2.652",,,,,,2,1,2,3
00000000000002309464,"Habitación en Palma, España",Habitación,Habitación,Mallorca,Palma,"39.57495,2.64182",,,,,,1,1,1,
00000000000002312412,"Alojamiento entero: chalet en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,500,500,,2,3,5,4,6
00000000000002323961,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.84067,3.13132",,145,145,,,2,1,2,4
00000000000002388289,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.762243,3.162432",,,,,,1,1,3,3
00000000000002418224,"Alojamiento entero: apto. residencial en Andratx, España",Alojamiento entero,Alojamiento,Mallorca,Andratx,,,,,4.69,369,1,1,4,3
00000000000002431240,"Habitación en Porto Alcudia, España",Habitación,Habitación,Mallorca,Porto Alcudia,"39.82312,3.11447",,95,95,4.58,33,1,1,1,
00000000000002438971,"Alojamiento entero: villa en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,"39.57289,2.62615",624,397,510,4.72,197,3,3,6,6
00000000000002503917,"Alojamiento entero: vivienda vacacional en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,105,105,4.62,266,1,1,1,2
00000000000002510624,"Alojamiento entero: vivienda en Muro, España",Alojamiento entero,Alojamiento,Mallorca,Muro,"39.79581,3.12346",,,,,1,4,4,5,8
00000000000002604925,"Alojamiento entero: vivienda en El Toro, España",Alojamiento entero,Alojamiento,Mallorca,El Toro,"39.48562,2.48242",,,,4.82,22,4,3,6,8
00000000000002633072,"Alojamiento entero: vivienda en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,,,,,5,3,7,0
00000000000002633668,"Alojamiento entero: vivienda en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.76324,3.16272",,,,4.29,7,1,1,3,4
00000000000002640354,"Alojamiento entero: piso en Magaluf, España",Alojamiento entero,Alojamiento,Mallorca,Magaluf,"39.50637,2.53431",450,155,302,4.69,13,2,2,3,4
00000000000002689512,"Alojamiento entero: chalet en Badia de Palma, España",Alojamiento entero,Alojamiento,Mallorca,Badia de Palma,"39.50014,2.53335",199,99,149,4.58,62,4,3,7,7
00000000000002698388,"Alojamiento entero: vivienda en Port d´Alcudia, España",Alojamiento entero,Alojamiento,Mallorca,Port d´Alcudia,"39.8244,3.115",,195,195,4.72,53,3,5,5,6
00000000000002776403,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,350,170,260,4.67,83,2,2,4,6
00000000000002793483,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,127,127,4.58,114,1,1,2,2
00000000000002820570,"Alojamiento entero: piso en Peguera, Calvià, España",Alojamiento entero,Alojamiento,Mallorca,Calvià,"39.53919,2.45532",,,,,,1,1,1,4
00000000000002886510,"Alojamiento entero: villa en Puerto de Alcudia, España",Alojamiento entero,Alojamiento,Mallorca,Puerto de Alcudia,"39.81461,3.10955",,,,,,4,3,6,8
00000000000002895056,"Alojamiento entero: piso en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,"39.71017,3.45238",,,,4.45,11,2,2,4,4
00000000000002921138,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,,,150,150,,,3,5,4,5
00000000000002926875,"Alojamiento entero: vivienda en Valldemossa, España",Alojamiento entero,Alojamiento,Mallorca,Valldemossa,"39.71179,2.62497",,102,102,4.69,154,1,5,1,2
00000000000002946533,"Alojamiento entero: vivienda en Sa Coma, España",Alojamiento entero,Alojamiento,Mallorca,Sa Coma,"39.57511,3.37292",,265,265,,,3,2,7,7
00000000000002960408,"Alojamiento entero: villa en Son Servera, España",Alojamiento entero,Alojamiento,Mallorca,Son Servera,,,,,5.0,5,6,7,2,2
00000000000002966884,"Alojamiento entero: vivienda vacacional en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,95,95,4.51,241,1,1,1,2
00000000000002967289,"Alojamiento entero: vivienda vacacional en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.5704,2.6527",,,,4.5,233,1,1,1,2
00000000000002967609,"Alojamiento entero: vivienda vacacional en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.5704,2.6527",,,,4.62,268,1,1,1,2
00000000000002971625,"Alojamiento entero: adosado en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.8154,3.1158",,,,,,4,2,6,8
00000000000002971929,"Alojamiento entero: piso en Son Servera, España",Alojamiento entero,Alojamiento,Mallorca,Son Servera,"39.60486,3.38664",,80,80,4.46,147,2,5,3,4
00000000000002982199,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,,,4.63,8,3,2,4,6
00000000000003004089,"Alojamiento entero: vivienda en Deià, España",Alojamiento entero,Alojamiento,Mallorca,Deià,,,,,,2,4,2,4,6
00000000000003033831,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.8158,3.1139",,181,181,,,3,2,4,6
00000000000003045906,"Alojamiento entero: vivienda en Sa Coma, España",Alojamiento entero,Alojamiento,Mallorca,Sa Coma,"39.57929,3.37216",,,,5.0,7,4,3,8,8
00000000000003087692,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,,,4.69,26,4,2,7,8
00000000000003173485,"Alojamiento entero: apto. residencial en Port de Pollença, España",Alojamiento entero,Alojamiento,Mallorca,Port de Pollença,"39.90505,3.08113",,75,75,4.63,239,1,1,2,2
00000000000003215305,"Alojamiento entero: vivienda en Capdepera, España",Alojamiento entero,Alojamiento,Mallorca,Capdepera,,,130,130,,,2,2,3,4
00000000000003306072,"Alojamiento entero: villa en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,4.0,3,4,5,7,7
00000000000003377466,"Alojamiento entero: apto. residencial en CALA MILLOR, España",Alojamiento entero,Alojamiento,Mallorca,CALA MILLOR,,,,,,,2,1,6,4
00000000000003393636,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.84358,3.12909",150,124,137,4.68,148,1,1,3,4
00000000000003396948,"Alojamiento entero: piso en Capdepera, España",Alojamiento entero,Alojamiento,Mallorca,Capdepera,"39.7103,3.45844",,98,98,4.84,98,1,1,3,3
00000000000003414053,"Alojamiento entero: vivienda en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.55057,2.69494",,,,,,2,1,3,4
00000000000003503417,"Alojamiento entero: vivienda en Provensals, España",Alojamiento entero,Alojamiento,Mallorca,Provensals,,,,,,,3,5,4,7
00000000000003634688,"Alojamiento entero: piso en Cala Millor, España",Alojamiento entero,Alojamiento,Mallorca,Cala Millor,,,,,,,2,1,5,4
00000000000003649426,"Alojamiento entero: casa de invitados en Camp de Mar, España",Alojamiento entero,Alojamiento,Mallorca,Camp de Mar,"39.53813,2.41895",,,,,,1,1,2,3
00000000000003714342,"Alojamiento entero: vivienda en Sa Coma, España",Alojamiento entero,Alojamiento,Mallorca,Sa Coma,"39.57376,3.37078",,,,,2,5,5,9,0
00000000000003757544,"Alojamiento entero: vivienda en Cala Ratjada , España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,"39.7115,3.4647",,180,180,4.86,84,3,5,5,6
00000000000003826309,"Alojamiento entero: apto. residencial en can picafort, España",Alojamiento entero,Alojamiento,Mallorca,can picafort,"39.76819,3.15041",,,,4.77,65,3,5,4,5
00000000000003849342,"Alojamiento entero: chalet en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.7576,3.16179",,,,4.82,55,4,3,5,8
00000000000003913640,"Alojamiento entero: vivienda en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,"39.7013,3.4558",,,,4.86,66,5,5,7,9
00000000000004010793,"Habitación en Palma de Mallorca, España",Habitación,Habitación,Mallorca,Palma de Mallorca,,,40,40,4.73,790,2,1,2,
00000000000004062695,"Alojamiento entero: piso en cala millor, España",Alojamiento entero,Alojamiento,Mallorca,cala millor,"39.59249,3.38535",,,,,,1,1,2,2
00000000000004132331,"Alojamiento entero: piso en Cala Millor, España",Alojamiento entero,Alojamiento,Mallorca,Cala Millor,"39.6003,3.3828",110,70,90,4.63,8,1,1,1,2
00000000000004160770,"Alojamiento entero: vivienda en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,,,2,2,2,4
00000000000004309778,"Alojamiento entero: apartamento con servicios en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.56615,2.64651",,,,4.5,420,1,5,,2
00000000000004323108,"Alojamiento entero: apartamento con servicios en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,4.42,386,1,1,2,2
00000000000004328074,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,4.43,402,1,1,,2
00000000000004415171,"Alojamiento entero: vivienda en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,,,3,3,3,6
00000000000004570147,"Alojamiento entero: villa en Santa Ponça, España",Alojamiento entero,Alojamiento,Mallorca,Santa Ponça,"39.5067,2.46764",,,,,,5,4,1,9
00000000000004751510,"Alojamiento entero: vivienda en Font de Sa Cala, España",Alojamiento entero,Alojamiento,Mallorca,Font de Sa Cala,"39.69431,3.45005",,308,308,,,4,2,6,7
00000000000004915131,"Alojamiento entero: piso en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,,,95,95,4.57,14,3,2,5,6
00000000000004934110,"Alojamiento entero: piso en Calvia (Mallorca), España",Alojamiento entero,Alojamiento,Mallorca,Calvia (Mallorca),,,95,95,4.69,138,1,1,3,4
00000000000005002986,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.842,3.1321",,100,100,4.69,170,3,1,4,4
00000000000005018623,"Alojamiento entero: piso en Santa Ponça, España",Alojamiento entero,Alojamiento,Mallorca,Santa Ponça,,,,,4.7,99,1,1,3,5
00000000000005050161,"Alojamiento entero: vivienda en Playa Muro, España",Alojamiento entero,Alojamiento,Mallorca,Playa Muro,"39.8089,3.1182",,,,,,4,5,6,8
00000000000005058872,"Alojamiento entero: casa rural en Cala Millor, España",Alojamiento entero,Alojamiento,Mallorca,Cala Millor,"39.6117,3.37953",,,,4.89,18,2,1,4,4
00000000000005063239,"Alojamiento entero: villa en Santa Ponça, España",Alojamiento entero,Alojamiento,Mallorca,Santa Ponça,,750,750,750,,,4,3,0,8
00000000000005160499,"Alojamiento entero: vivienda en Illes Balears, España",Alojamiento entero,Alojamiento,Mallorca,Illes Balears,"39.518,2.53179",,307,307,,,4,2,6,8
00000000000005193642,"Alojamiento entero: vivienda en Costa de la Calma, España",Alojamiento entero,Alojamiento,Mallorca,Costa de la Calma,"39.52732,2.47527",,,,4.56,16,4,5,,9
00000000000005198082,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.82244,3.11558",,190,190,4.73,11,4,2,6,8
00000000000005258312,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,,189,91,140,4.51,51,2,1,4,5
00000000000005258570,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,,201,84,142,4.43,95,2,1,4,5
00000000000005362945,"Alojamiento entero: villa en Playa de Muro, España",Alojamiento entero,Alojamiento,Mallorca,Playa de Muro,"39.8138,3.1125",,,,,,4,5,5,7
00000000000005372539,"Habitación en Valldemossa, España",Habitación,Habitación,Mallorca,Valldemossa,,,,,4.41,135,1,1,,
00000000000005496676,"Alojamiento entero: vivienda en Cala Gat, España",Alojamiento entero,Alojamiento,Mallorca,Cala Gat,"39.7107,3.47451",480,480,480,4.62,26,5,6,8,1
00000000000005561252,"Habitación en Valldemossa, España",Habitación,Habitación,Mallorca,Valldemossa,"39.7122,2.62804",475,416,446,,,1,1,3,
00000000000005577898,"Alojamiento entero: villa en Cala Vinyes, España",Alojamiento entero,Alojamiento,Mallorca,Cala Vinyes,"39.49822,2.53565",,,,,,5,5,0,0
00000000000005586580,"Alojamiento entero: adosado en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.76241,3.15722",,,,4.5,8,3,5,4,6
00000000000005678550,"Alojamiento entero: piso en C'an Picafort , España",Alojamiento entero,Alojamiento,Mallorca,C'an Picafort,"39.76989,3.14751",,140,140,4.92,61,3,2,4,6
00000000000005695702,"Alojamiento entero: vivienda en Costa de la Clama , España",Alojamiento entero,Alojamiento,Mallorca,Costa de la Clama,,,,,,,3,3,5,7
00000000000005764385,"Alojamiento entero: adosado en alcudia, España",Alojamiento entero,Alojamiento,Mallorca,alcudia,"39.82425,3.11487",,,,4.33,3,4,2,4,8
00000000000005777364,"Habitación en Palma, España",Habitación,Habitación,Mallorca,Palma,"39.578817,2.666458",50,40,45,5.0,3,1,1,1,
00000000000005789170,"Alojamiento entero: vivienda en Valldemossa, España",Alojamiento entero,Alojamiento,Mallorca,Valldemossa,"39.71051,2.62147",,132,132,4.74,77,2,1,3,2
00000000000005813539,"Alojamiento entero: suite con entrada independiente en Muro, España",Alojamiento entero,Alojamiento,Mallorca,Muro,"39.79402,3.12536",,184,184,4.63,62,1,1,1,2
00000000000005922658,"Habitación privada en: hostal en Palma, España",Habitación privada en,Habitación,Mallorca,Palma,,100,100,100,4.52,21,1,1,2,2
00000000000005936519,"Alojamiento entero: villa en Costa de la Calma, España",Alojamiento entero,Alojamiento,Mallorca,Costa de la Calma,"39.5274,2.4673",1,850,426,,,5,5,5,8
00000000000005937603,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.82781,3.11531",170,70,120,4.38,156,1,1,1,2
00000000000005941064,"Isla en Calvia (Santa Ponça), España",Isla,Isla,Mallorca,Calvia (Santa Ponça),,295,143,219,4.77,364,2,1,5,5
00000000000006003304,"Alojamiento entero: vivienda en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,"39.69971,3.45432",,,,,,3,2,3,6
00000000000006398822,"Alojamiento entero: piso en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,"39.56219,2.62391",,115,115,4.74,155,1,1,1,2
00000000000006410957,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,,,4.83,29,3,2,5,6
00000000000006584127,"Alojamiento entero: casa rural en Andratx, España",Alojamiento entero,Alojamiento,Mallorca,Andratx,"39.57668,2.41562",,135,135,,,1,1,1,2
00000000000006595719,"Alojamiento entero: piso en Can Picafort, España",Alojamiento entero,Alojamiento,Mallorca,Can Picafort,"39.76317,3.15398",190,84,137,4.37,114,2,1,2,4
00000000000006631532,"Alojamiento entero: casa rural en Cala Millor, España",Alojamiento entero,Alojamiento,Mallorca,Cala Millor,"39.6069,3.37635",,,,,,3,1,4,5
00000000000006654371,"Alojamiento entero: vivienda en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.81455,3.11197",,115,115,4.7,10,3,5,6,6
00000000000006657955,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,86,86,4.75,59,1,1,3,4
00000000000006671376,"Alojamiento entero: adosado en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,,,,,5.0,12,3,5,5,6
00000000000006763924,"Alojamiento entero: vivienda en Son Servera, España",Alojamiento entero,Alojamiento,Mallorca,Son Servera,"39.616,3.38883",,,,4.67,9,4,5,6,8
00000000000006786318,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.83858,3.12419",,160,160,,,2,1,2,4
00000000000006875114,"Alojamiento entero: piso en Cala Ratjada, España",Alojamiento entero,Alojamiento,Mallorca,Cala Ratjada,,,,,4.91,11,2,2,4,4
00000000000006943589,"Alojamiento entero: piso en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,,,4.74,343,1,1,2,2
00000000000006982781,"Habitación en Palma, España",Habitación,Habitación,Mallorca,Palma,"39.5694,2.6446",94,75,84,4.69,176,1,1,1,
00000000000007066494,"Alojamiento entero: piso en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,"39.56835,2.64269",,,,4.64,387,1,1,1,2
00000000000007086946,"Alojamiento entero: piso en CALA MILLOR (SON SERVERA), España",Alojamiento entero,Alojamiento,Mallorca,CALA MILLOR (SON SERVERA),,,,,4.71,28,1,1,2,4
00000000000007257689,"Alojamiento entero: piso en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,110,110,4.68,645,1,1,1,2
00000000000007297898,"Alojamiento entero: vivienda en Palmanova. Calvia, España",Alojamiento entero,Alojamiento,Mallorca,Palmanova. Calvia,,642,,642,4.65,182,7,2,6,2
00000000000007376613,"Habitación en palma de mallorca, España",Habitación,Habitación,Mallorca,palma de mallorca,"39.5758,2.64797",,,,4.77,171,1,1,1,
00000000000007430483,"Alojamiento entero: piso en Sant Llorenç des Cardassar, España",Alojamiento entero,Alojamiento,Mallorca,Sant Llorenç des Cardassar,"39.5925,3.38411",380,285,332,4.88,128,2,1,3,4
00000000000007642189,"Alojamiento entero: villa en Santa Ponça, España",Alojamiento entero,Alojamiento,Mallorca,Santa Ponça,"39.508603,2.470936",,,,5.0,7,4,5,5,8
00000000000007670043,"Alojamiento entero: vivienda en Es Carregador, España",Alojamiento entero,Alojamiento,Mallorca,Es Carregador,"39.6899,3.4544",,,,4.59,29,4,2,5,6
00000000000007670290,"Alojamiento entero: vivienda en Palma, España",Alojamiento entero,Alojamiento,Mallorca,Palma,,,175,175,4.85,194,2,2,3,4
