ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
11258070,"Alojamiento entero: piso en Valencia, España",Valencia,"39.46235,-0.34566",140 €,155 €,"4,73",264 evaluaciones,3 dormitorios,1 baño,3 camas,5 viajeros
839564359618114722,"Alojamiento entero: piso en València, España",Valencia,"39.472,-0.3802",91 €,104 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,2 viajeros
1071016238741725030,"Alojamiento entero: apartamento con servicios en València, España",Valencia,"39.4621,-0.3727",221 €,221 €,"5,0",3 evaluaciones,2 dormitorios,1 baño,3 camas,5 viajeros
23648626,"Alojamiento entero: piso en València, España",Valencia,"39.4754,-0.376",114 €,129 €,"4,75",197 evaluaciones,1 dormitorio,0 baños,2 camas,4 viajeros
749169860887984590,"Alojamiento entero: loft en València, España",Valencia,"39.4822,-0.3751",147 €,157 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,2 camas,4 viajeros
1140690195413221884,"Alojamiento entero: piso en València, España",Valencia,"39.474188,-0.386031",No disponible en Octubre,180 €,Nuevo,2 evaluaciones,1 dormitorio,1 baño,No especificado,2 viajeros
694103271858687246,"Alojamiento entero: piso en València, España",Valencia,"39.46046,-0.35134",145 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,6 viajeros
1144980547162267962,"Habitación privada en: piso en València, España",Valencia,"39.4589,-0.3505",98 €,178 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,2 viajeros
53698649,"Alojamiento entero: piso en València, España",Valencia,"39.47,-0.35755",No disponible en Octubre,No disponible en Agosto,"5,0",8 evaluaciones,2 dormitorios,1 baño,No especificado,4 viajeros
1112123922066521502,"Alojamiento entero: piso en València, España",Valencia,"39.46688,-0.334299",109 €,149 €,Nuevo,2 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
1059452582462518946,"Alojamiento entero: piso en València, España",Valencia,"39.455597,-0.380093",No disponible en Octubre,No disponible en Agosto,"4,13",15 evaluaciones,2 dormitorios,2 baños,No especificado,5 viajeros
996910554722110642,"Habitación en Valencia, España",Valencia,"39.445602,-0.334372",80 €,80 €,"4,67",6 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1066611766774929889,"Alojamiento entero: piso en València, España",Valencia,"39.460702,-0.358929",141 €,159 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
1141732293173501425,"Alojamiento entero: piso en València, España",Valencia,"39.45828,-0.36992",No disponible en Octubre,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
1083481163649618490,"Habitación en València, España",Valencia,"39.477144,-0.352637",No disponible en Octubre,55 €,"5,0",3 evaluaciones,1 dormitorio,· baño privado en la habitación,No especificado,No especificado
1086804369252410370,"Alojamiento entero: apto. residencial en València, España",Valencia,"39.448136,-0.333226",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,1 evaluación,1 dormitorio,0 baños,No especificado,2 viajeros
49477809,"Alojamiento entero: loft en València, España",Valencia,"39.4962,-0.40419",100 €,116 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,2 camas,4 viajeros
1014276617758638999,"Habitación en València, España",Valencia,"39.44155,-0.348",No disponible en Octubre,No disponible en Agosto,"4,86",7 evaluaciones,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
700505903009613950,"Habitación privada en: loft en València, España",Valencia,"39.48494,-0.38716",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño privado,1 cama,1 viajero
1127309210257703779,"Alojamiento entero: piso en València, España",Valencia,"39.4722,-0.3959",No disponible en Octubre,175 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,4 dormitorios,2 baños,4 camas,8 viajeros
983362544879809504,"Habitación en València, España",Valencia,"39.46484,-0.34543",No disponible en Octubre,No disponible en Agosto,"4,48",21 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
38604615,"Habitación en València, España",Valencia,"39.46829,-0.3928",No disponible en Octubre,32 €,"4,65",184 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1090382469929612009,"Habitación en València, España",Valencia,"39.46584,-0.356863",No disponible en Octubre,No disponible en Agosto,"4,69",13 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
643509934141723282,"Alojamiento entero: piso en València, España",Valencia,"39.47129,-0.34473",110 €,135 €,"4,78",27 evaluaciones,3 dormitorios,5 baños,No especificado,5 viajeros
1107081197390538533,"Alojamiento entero: piso en València, España",Valencia,"39.4669,-0.3785",97 €,No disponible en Agosto,Nuevo,2 evaluaciones,2 dormitorios,1 baño,2 camas,3 viajeros
26682882,"Alojamiento entero: vivienda en València, España",Valencia,"39.46445,-0.32963",160 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,3 viajeros
701858584337759768,"Alojamiento entero: piso en València, España",Valencia,"39.49122,-0.39429",85 €,No disponible en Agosto,"4,63",27 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
1141609661664226243,"Alojamiento entero: vivienda en València, España",Valencia,"39.47182,-0.329285",150 €,150 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,2 viajeros
795774445523678069,"Alojamiento entero: piso en València, España",Valencia,"39.468528,-0.35599",No disponible en Octubre,No disponible en Agosto,"4,79",76 evaluaciones,1 dormitorio,1 baño,3 camas,2 viajeros
29826956,"Alojamiento entero: piso en València, España",Valencia,"39.47183,-0.34075",No disponible en Octubre,No disponible en Agosto,"4,71",106 evaluaciones,3 dormitorios,1 baño,4 camas,6 viajeros
822518897122503819,"Alojamiento entero: piso en València, España",Valencia,"39.454552,-0.365068",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
1028640050210306783,"Alojamiento entero: piso en València, España",Valencia,"39.45417,-0.37203",154 €,151 €,"4,83",24 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
1152321845547965594,"Habitación privada en: piso en València, España",Valencia,"39.4638,-0.3425",No disponible en Octubre,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
25063913,"Alojamiento entero: piso en Valencia, España",Valencia,"39.46545,-0.32666",140 €,No disponible en Agosto,"4,64",148 evaluaciones,3 dormitorios,1 baño,4 camas,5 viajeros
53021072,"Habitación en València, España",Valencia,"39.47427,-0.35618",No disponible en Octubre,26 €,"4,52",58 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
50330384,"Alojamiento entero: piso en Alboraia, España",Valencia,"39.4876,-0.3255",No disponible en Octubre,266 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,3 viajeros
21558373,"Alojamiento entero: loft en València, España",Valencia,"39.4565,-0.3667",No disponible en Octubre,No disponible en Agosto,"4,86",262 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
1110064321513169568,"Alojamiento entero: piso en València, España",Valencia,"39.4766,-0.3917",130 €,No disponible en Agosto,"5,0",3 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
23935642,"Alojamiento entero: piso en València, España",Valencia,"39.46448,-0.32826",No disponible en Octubre,No disponible en Agosto,"4,56",173 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
878027898864462203,"Alojamiento entero: piso en València, España",Valencia,"39.466973,-0.345517",116 €,169 €,"4,66",32 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
53408272,"Alojamiento entero: loft en València, España",Valencia,"39.45545,-0.37314",73 €,105 €,"4,53",76 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
8588882,"Alojamiento entero: piso en València, España",Valencia,"39.4878,-0.3783",91 €,130 €,"4,81",240 evaluaciones,2 dormitorios,1 baño,3 camas,6 viajeros
1147155845856813088,"Habitación en apartahotel en València, España",Valencia,"39.449046,-0.366104",163 €,100 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,6 viajeros
33314470,"Habitación en València, España",Valencia,"39.46361,-0.33361",No disponible en Octubre,No disponible en Agosto,"4,82",11 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
51344429,"Alojamiento entero: piso en València, España",Valencia,"39.46677,-0.33264",No disponible en Octubre,No disponible en Agosto,"4,78",85 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
1049958874326449176,"Alojamiento entero: piso en Alboraia, España",Valencia,"39.494038,-0.328772",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Política de Cookies,2 dormitorios,1 baño,4 camas,6 viajeros
31916082,"Habitación en València, España",Valencia,"39.4821,-0.327",45 €,45 €,"4,82",22 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1131526827271619085,"Habitación en València, España",Valencia,"39.4569,-0.38939",35 €,No disponible en Agosto,"5,0",3 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
54241740,"Alojamiento entero: loft en València, España",Valencia,"39.47705,-0.38204",87 €,No disponible en Agosto,"4,77",97 evaluaciones,1 dormitorio,1 baño,No especificado,2 viajeros
885155053416457534,"Habitación en València, España",Valencia,"39.472268,-0.378542",No disponible en Octubre,56 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en el alojamiento,No especificado,No especificado
26329759,"Alojamiento entero: piso en València, España",Valencia,"39.46888,-0.39127",80 €,100 €,"4,17",6 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
1112930074286909037,"Habitación en Alfafar, España",Valencia,"39.4268,-0.3939",22 €,32 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,Sin baños,No especificado,No especificado
893376154797272056,"Alojamiento entero: piso en València, España",Valencia,"39.470911,-0.328191",139 €,180 €,"4,42",26 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
699157738103332128,"Habitación en València, España",Valencia,"39.47727,-0.39007",No disponible en Octubre,75 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en el alojamiento,No especificado,No especificado
1147656,"Alojamiento entero: piso en Valencia, España",Valencia,"39.4898,-0.4044",130 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,2 baños,5 camas,6 viajeros
21456636,"Alojamiento entero: piso en Sedav, España",Valencia,"39.42717,-0.38079",62 €,No disponible en Agosto,"4,67",123 evaluaciones,3 dormitorios,2 baños,4 camas,7 viajeros
1134044542847585676,"Habitación en València, España",Valencia,"39.467823,-0.385366",No disponible en Octubre,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
693413082639638831,"Alojamiento entero: vivienda vacacional en Paiporta, España",Valencia,"39.43256,-0.41697",63 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
25955799,"Alojamiento entero: loft en València, España",Valencia,"39.4663,-0.3852",81 €,No disponible en Agosto,"4,64",127 evaluaciones,1 dormitorio,5 baños,1 cama,4 viajeros
1132027585438908958,"Habitación en València, España",Valencia,"39.463332,-0.346729",No disponible en Octubre,No disponible en Agosto,Nuevo,Política de Cookies,1 dormitorio,baño compartido,1 cama,No especificado
1008744409210930958,"Habitación en València, España",Valencia,"39.4443,-0.3869",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,2 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
707830310577625843,"Habitación en València, España",Valencia,"39.45035,-0.33923",80 €,80 €,"5,0",3 evaluaciones,1 dormitorio,· baño privado en el alojamiento,No especificado,No especificado
731797696664288843,"Habitación en València, España",Valencia,"39.45706,-0.36981",55 €,No disponible en Agosto,"4,67",43 evaluaciones,1 dormitorio,Sin baños,1 cama,No especificado
918148003720925846,"Habitación en Valencia, España",Valencia,"39.451122,-0.369543",No disponible en Octubre,No disponible en Agosto,"4,60",5 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
30304047,"Habitación en València, España",Valencia,"39.47059,-0.34191",36 €,40 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
871795851654572594,"Habitación en València, España",Valencia,"39.471526,-0.401623",58 €,58 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1074548211558142600,"Alojamiento entero: apto. residencial en València, España",Valencia,"39.459069,-0.335713",No disponible en Octubre,348 €,Sin valoraciones,2 evaluaciones,2 dormitorios,2 baños,3 camas,5 viajeros
1150715752513261595,"Habitación privada en: piso en Catarroja, España",Valencia,"39.4089,-0.4033",18 €,18 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,1 viajero
1102969452299386550,"Habitación en València, España",Valencia,"39.47107,-0.352432",No disponible en Octubre,No disponible en Agosto,"4,63",8 evaluaciones,1 dormitorio,Sin baños,1 cama,No especificado
1152954663547430293,"Alojamiento entero: vivienda en Valencia, España",Valencia,"39.495844,-0.424423",No disponible en Octubre,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,1 cama,4 viajeros
1141433804902343745,"Alojamiento entero: piso en València, España",Valencia,"39.462,-0.39926",93 €,95 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,2 camas,6 viajeros
662783493122658897,"Habitación en Valencia, España",Valencia,"39.43815,-0.38906",No disponible en Octubre,No disponible en Agosto,"4,75",28 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
632602116619979818,"Alojamiento entero: piso en Alboraya, España",Valencia,"39.487064,-0.32867",130 €,143 €,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
971063257986973857,"Habitación en València, España",Valencia,"39.47492,-0.39259",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
1132429416093423585,"Alojamiento entero: piso en València, España",Valencia,"39.46042,-0.37173",186 €,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,6 viajeros
629011069471718647,"Alojamiento entero: piso en València, España",Valencia,"39.45342,-0.37282",149 €,172 €,"4,70",44 evaluaciones,1 dormitorio,1 baño,1 cama,3 viajeros
999709344480897252,"Alojamiento entero: piso en València, España",Valencia,"39.438171,-0.388339",126 €,163 €,"4,0",5 evaluaciones,3 dormitorios,2 baños,No especificado,6 viajeros
49034332,"Alojamiento entero: vivienda en València, España",Valencia,"39.4488,-0.334",220 €,220 €,Sin valoraciones,1 evaluación,2 dormitorios,5 baños,3 camas,5 viajeros
964929753511808066,"Alojamiento entero: loft en València, España",Valencia,"39.45171,-0.3317",124 €,175 €,"5,0",5 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
29205072,"Alojamiento entero: piso en València, España",Valencia,"39.46477,-0.35523",No disponible en Octubre,No disponible en Agosto,"4,70",88 evaluaciones,3 dormitorios,1 baño,4 camas,6 viajeros
943974872217675951,"Alojamiento entero: piso en València, España",Valencia,"39.441281,-0.36774",193 €,322 €,Sin valoraciones,1 evaluación,1 dormitorio,1 baño,2 camas,4 viajeros
730139927646968745,"Alojamiento entero: piso en València, España",Valencia,"39.4729,-0.3796",No disponible en Octubre,120 €,"4,76",25 evaluaciones,1 dormitorio,1 baño,No especificado,2 viajeros
1101271700053176889,"Alojamiento entero: piso en Manises, España",Valencia,"39.491964,-0.459813",55 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,3 viajeros
1002057926816677394,"Habitación en Xirivella, España",Valencia,"39.4663,-0.4153",30 €,35 €,"4,73",11 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
39840290,"Alojamiento entero: loft en València, España",Valencia,"39.47662,-0.38406",150 €,124 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,5 baños,4 camas,2 viajeros
1086142893862972189,"Alojamiento entero: piso en València, España",Valencia,"39.4737,-0.3996",No disponible en Octubre,No disponible en Agosto,"4,33",6 evaluaciones,4 dormitorios,1 baño,2 camas,5 viajeros
34523806,"Alojamiento entero: casa de invitados en Valencia, España",Valencia,"39.471436,-0.377839",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
987733681891734459,"Habitación en València, España",Valencia,"39.467,-0.347824",37 €,70 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
4595165,"Alojamiento entero: piso en Valencia, España",Valencia,"39.4732,-0.3767",300 €,207 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,2 camas,4 viajeros
614962749194748084,"Habitación en València, España",Valencia,"39.48647,-0.38056",No disponible en Octubre,No disponible en Agosto,"4,87",30 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
50223483,"Alojamiento entero: piso en València, España",Valencia,"39.47957,-0.33165",No disponible en Octubre,No disponible en Agosto,"4,44",9 evaluaciones,4 dormitorios,2 baños,4 camas,8 viajeros
1085312615936255647,"Habitación en València, España",Valencia,"39.486499,-0.372939",No disponible en Octubre,No disponible en Agosto,"4,71",14 evaluaciones,1 dormitorio,· baño privado en el alojamiento,No especificado,No especificado
51801187,"Habitación en València, España",Valencia,"39.47362,-0.3794",No disponible en Octubre,No disponible en Agosto,"4,29",86 evaluaciones,1 dormitorio,baño compartido,3 camas,No especificado
965624258527427652,"Alojamiento entero: piso en València, España",Valencia,"39.46174,-0.34839",141 €,238 €,Nuevo,1 evaluación,3 dormitorios,1 baño,2 camas,4 viajeros
896516536703674181,"Alojamiento entero: piso en València, España",Valencia,"39.4646,-0.3416",No disponible en Octubre,130 €,"4,42",45 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
30676203,"Habitación en Mislata, Valéncia, España",Valencia,"39.4743,-0.4189",19 €,No disponible en Agosto,"4,67",218 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
14368666,"Habitación en València, España",Valencia,"39.4732,-0.36006",51 €,51 €,"4,82",51 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
40585527,"Alojamiento entero: piso en València, España",Valencia,"39.47668,-0.37964",185 €,225 €,"4,83",112 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
50996943,"Alojamiento entero: loft en Valencia, España",Valencia,"39.47221,-0.37643",80 €,95 €,"4,46",120 evaluaciones,1 dormitorio,1 baño,2 camas,2 viajeros
33484501,"Alojamiento entero: vivienda en València, España",Valencia,"39.46957,-0.32933",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,5 viajeros
975120870440468282,"Alojamiento entero: piso en València, España",Valencia,"39.4643,-0.3542",184 €,207 €,"3,90",10 evaluaciones,3 dormitorios,1 baño,3 camas,5 viajeros
852693118258634558,"Habitación en València, España",Valencia,"39.4849,-0.3606",40 €,40 €,"4,55",31 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
10051673,"Alojamiento entero: apartamento con servicios en Valencia, España",Valencia,"39.46059,-0.35009",172 €,172 €,"4,64",87 evaluaciones,2 dormitorios,2 baños,3 camas,4 viajeros
46034272,"Alojamiento entero: piso en València, España",Valencia,"39.48375,-0.38679",No disponible en Octubre,No disponible en Agosto,"4,83",240 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
10316611,"Alojamiento entero: loft en València, España",Valencia,"39.46592,-0.32999",No disponible en Octubre,No disponible en Agosto,"4,80",408 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
5588671,"Alojamiento entero: piso en València, España",Valencia,"39.4598,-0.3776",119 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,4 viajeros
21936011,"Alojamiento entero: piso en València, España",Valencia,"39.4591,-0.3703",No disponible en Octubre,No disponible en Agosto,"4,90",62 evaluaciones,2 dormitorios,5 baños,2 camas,4 viajeros
1038561319891702886,"Alojamiento entero: piso en València, España",Valencia,"39.4743,-0.3987",No disponible en Octubre,150 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,2 camas,4 viajeros
654933987889637251,"Habitación en València, España",Valencia,"39.46177,-0.36194",45 €,57 €,"4,74",183 evaluaciones,3 dormitorios,baño compartido,1 cama,No especificado
1095476658032832782,"Alojamiento entero: piso en Burjasot, España",Valencia,"39.5022,-0.4067",130 €,113 €,"4,86",7 evaluaciones,1 dormitorio,2 baños,No especificado,4 viajeros
1045441732698251354,"Alojamiento entero: piso en València, España",Valencia,"39.44724,-0.33491",No disponible en Octubre,No disponible en Agosto,"4,59",32 evaluaciones,1 dormitorio,1 baño,No especificado,4 viajeros
44383743,"Habitación en València, España",Valencia,"39.465947,-0.365096",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Política de Cookies,1 dormitorio,baño compartido,1 cama,No especificado
52736389,"Alojamiento entero: piso en València, España",Valencia,"39.45106,-0.33549",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,5 baños,3 camas,7 viajeros
5432823,"Alojamiento entero: loft en València, España",Valencia,"39.48017,-0.38102",81 €,No disponible en Agosto,"4,59",406 evaluaciones,1 dormitorio,1 baño,4 camas,3 viajeros
778633338606195189,"Alojamiento entero: piso en Alboraia, España",Valencia,"39.48553,-0.32614",178 €,259 €,"4,79",34 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
1151288988345949707,"Habitación en apartahotel en València, España",Valencia,"39.448252,-0.367987",132 €,132 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
663711042714112057,"Habitación en València, España",Valencia,"39.4536,-0.3749",37 €,50 €,"4,75",67 evaluaciones,1 dormitorio,baño compartido,2 camas,No especificado
53401974,"Alojamiento entero: loft en València, España",Valencia,"39.45508,-0.37151",73 €,105 €,"4,59",93 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
939690255402434181,"Alojamiento entero: piso en València, España",Valencia,"39.48449,-0.376312",165 €,165 €,"4,67",3 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
